almaMmsId	rpbId	hbzId	zdbId
990104992800206441	RPB036t971346	919149-5	HT012346727
990101936050206441	RPB036t971372	28850-0	HT012041052
990108134490206441	RPB036t971373	1407027-3	HT012660896
990107957150206441	RPB036t971374	1384302-3	HT012643162
990056451160206441	RPB036t971419	1403987-4	HT007960303
990054614950206441	RPB036t971471		HT006492908
990108367940206441	RPB036t971478	1436016-0	HT012684241
990108427300206441	RPB036t971479	1443445-3	HT012690177
990056450970206441	RPB036t971493	1403848-1	HT007960283
990056423860206441	RPB036t971500	1395568-8	HT007712506
990054671930206441	RPB036t971501	27702-2	HT006890005
990124446930206441	RPB036t971518	2131436-6	HT013896508
990028946890206441	RPB036t980422		HT007531821
990027384560206441	RPB036t980423		HT007202471
990056365360206441	RPB036t980431	1309981-4	HT007472126
990105735260206441	RPB036t980564	1071393-1	HT012420973
990055929440206441	RPB036t980572	1062426-0	HT007041918
990055296020206441	RPB036t980605	574727-2	HT006966564
990105673330206441	RPB036t980609	1062422-3	HT012414780
990055929430206441	RPB036t980610	1062419-3	HT007041917
990055902260206441	RPB036t980611	1048779-7	HT007038746
990108671840206441	RPB036t980702	1475714-X	HT012714631
990108671770206441	RPB036t980718	1475707-2	HT012714624
990108443910206441	RPB036t980764	1445653-9	HT012691838
990034902770206441	RPB036t980770		HT008720670
990108204960206441	RPB036t980772	1415756-1	HT012667943
990108534050206441	RPB036t980774	1457217-5	HT012700852
990056622440206441	RPB036t980777	1446708-2	HT009971760
990108068430206441	RPB036t980778	1398404-4	HT012654290
990107329000206441	RPB036t980900	1294697-7	HT012580347
990107631770206441	RPB036t980918	1339048-X	HT012610624
990108042640206441	RPB036t980924	1395052-6	HT012651711
990159848000206441	RPB036t980990	1413668-5	HT015277806
990107596850206441	RPB036t980993	1334405-5	HT012607132
990108573780206441	RPB036t981107	1462469-2	HT012704825
990108455470206441	RPB036t981154	1447201-6	HT012692994
990104992800206441	RPB036t981170	919149-5	HT012346727
990056585940206441	RPB036t981308	1451379-1	HT009239375
990055639280206441	RPB036t981316	725004-6	HT007006361
990108445900206441	RPB036t981318	1445905-X	HT012692037
990108024150206441	RPB036t981412	1392743-7	HT012649862
990108306810206441	RPB036t990032	1428472-8	HT012678128
990108651800206441	RPB036t990033	1472929-5	HT012712627
990056246550206441	RPB036t990039	1294115-3	HT007192954
990104974350206441	RPB036t990064	917002-9	HT012344882
990108458150206441	RPB036t990181	1447596-0	HT012693262
990108721080206441	RPB036t990246	1481885-1	HT012719555
990108705140206441	RPB036t990247	1479941-8	HT012717961
990108705170206441	RPB036t990248	1479944-3	HT012717964
990108876190206441	RPB036t990249	1500285-8	HT012735066
990107519580206441	RPB036t990301	1324050-X	HT012599405
990056489820206441	RPB036t990302	1411287-5	HT008275457
990054903880206441	RPB036t990630	244679-0	HT006921169
990113043300206441	RPB036t990691	2000694-9	HT012977266
990056451160206441	RPB036t990774	1403987-4	HT007960303
990113106090206441	RPB036t990803	2007284-3	HT012983545
990107652900206441	RPB036t990908	1341699-6	HT012612737
990107537500206441	RPB036t990909	1326498-9	HT012601197
990101927210206441	RPB036t990932	27593-1	HT012040168
990108520690206441	RPB036t990933	1455445-8	HT012699516
990113060860206441	RPB036t990934	2002565-8	HT012979022
990108068430206441	RPB036t990943	1398404-4	HT012654290
990054814080206441	RPB036t990956	206229-X	HT006908647
990056222280206441	RPB036t990998	1293314-4	HT007076081
990113177600206441	RPB036t991006	2014788-0	HT012990696
990101071450206441	RPB036t991007	2000097-2	HT011210690
990108875720206441	RPB036t991008	1500226-3	HT012735019
990113146130206441	RPB036t991014	2011492-8	HT012987549
990113138010206441	RPB036t991019	2010647-6	HT012986737
990108704620206441	RPB036t991036	1479866-9	HT012717909
990176236570206441	RPB036t991038		TT002892583
990113153240206441	RPB036t991084	2012236-6	HT012988260
990107249730206441	RPB036t991272	1283648-5	HT012572420
990056216810206441	RPB036t991355	1289462-X	HT007075484
990056365360206441	RPB036t991376	1309981-4	HT007472126
990056053550206441	RPB036t991417	1133845-3	HT007056734
990056666590206441	RPB036t991418	1475970-6	HT010614094
990113342620206441	RPB036t991421	2021194-6	HT013007300
990056285750206441	RPB036t991435	1329019-8	HT007223334
990113271380206441	RPB036t991474	2016214-5	HT013000148
990113500110206441	RPB107t001682	2031158-8	HT013023098
990113561360206441	RPB107t001687	2034832-0	HT013029247
990113561540206441	RPB107t001688	2034851-4	HT013029265
990113561630206441	RPB107t001689	2034860-5	HT013029274
990113492600206441	RPB107t001693	2030397-X	HT013022347
990106992490206441	RPB107t001754	1239822-6	HT012546696
990107275630206441	RPB107t001758	1287476-0	HT012575010
990108839500206441	RPB107t001789	1495788-7	HT012731397
990113092480206441	RPB107t001790	2005854-8	HT012982184
990113067610206441	RPB107t001791	2003275-4	HT012979697
990113092450206441	RPB107t001792	2005851-2	HT012982181
990113561680206441	RPB107t001794	2034865-4	HT013029279
990113077690206441	RPB107t001795	2004320-X	HT012980705
990113423740206441	RPB107t001797	2025672-3	HT013015436
990113633550206441	RPB107t001798	2041220-4	HT013036469
990113560880206441	RPB107t001799	2034779-0	HT013029199
990108742340206441	RPB107t001801	1484462-X	HT012721681
990113643450206441	RPB107t001809	2042249-0	HT013037459
990113632290206441	RPB107t001852	2041091-8	HT013036343
990113136350206441	RPB107t001856	2010473-X	HT012986571
990113643540206441	RPB107t001858	2042259-3	HT013037468
990102644690206441	RPB107t001865	239073-5	HT012111916
990113183160206441	RPB107t001868	2015367-3	HT012991252
990106461370206441	RPB107t001869	1169651-5	HT012493584
990113610550206441	RPB107t001871	2038851-2	HT013034169
990113612520206441	RPB107t001872	2039051-8	HT013034366
990108880930206441	RPB107t001895	1500854-X	HT012735540
990113100360206441	RPB107t001896	2006686-7	HT012982972
990113385990206441	RPB107t001897	2023126-X	HT013011655
990113093640206441	RPB107t001898	2005974-7	HT012982300
990113507540206441	RPB107t001899	2031928-9	HT013023841
990113673440206441	RPB107t001901	2045346-2	HT013040458
990113561450206441	RPB107t001913	2034841-1	HT013029256
990113094660206441	RPB107t001945	2006087-7	HT012982402
990113457890206441	RPB107t001950	2027831-7	HT013018866
990108499280206441	RPB107t001951	1452810-1	HT012697375
990113673670206441	RPB107t001961	2045369-3	HT013040481
990056684980206441	RPB107t001965	1303432-7	HT010840528
990108878020206441	RPB107t001973	1500500-8	HT012735249
990113077860206441	RPB107t001975	2004338-7	HT012980722
990056629700206441	RPB107t001976	1361175-6	HT010080518
990113561510206441	RPB107t001977	2034847-2	HT013029262
990113237790206441	RPB107t001983	2023537-9	HT012996765
990113170400206441	RPB107t001984	2014029-0	HT012989976
990108862810206441	RPB107t001987	1498634-6	HT012733728
990108850350206441	RPB107t001988	1497101-X	HT012732482
990108878580206441	RPB107t001989	1500585-9	HT012735305
990056684820206441	RPB107t001993	915470-X	HT010840509
990108876180206441	RPB107t001996	1500284-6	HT012735065
990102536580206441	RPB107t002004	206950-7	HT012101105
990113099500206441	RPB107t002006	2006598-X	HT012982886
990108722750206441	RPB107t002007	1482067-5	HT012719722
990108629690206441	RPB107t002008	1469940-0	HT012710416
990113475350206441	RPB107t002009	2028612-0	HT013020622
990056619780206441	RPB107t002010	1460219-2	HT009855678
990113472270206441	RPB107t002017	2028298-9	HT013020314
990108841820206441	RPB107t002019	1496099-0	HT012731629
990108797060206441	RPB107t002031	1490361-1	HT012727153
990106436130206441	RPB107t002032	1166569-5	HT012491060
990105934760206441	RPB107t002033	1100043-0	HT012440923
990108640790206441	RPB107t002034	1471432-2	HT012711526
990108641020206441	RPB107t002035	1471457-7	HT012711549
990108700480206441	RPB107t002038	1479287-4	HT012717495
990108793820206441	RPB107t002039	1489981-4	HT012726829
990104084890206441	RPB107t002041	726360-0	HT012255936
990108714270206441	RPB107t002136	1481050-5	HT012718874
990107426410206441	RPB107t002176	1310856-6	HT012590088
990107377090206441	RPB107t002269	1304549-0	HT012585156
990108521540206441	RPB107t01000001	1455560-8	HT012699601
990139626220206441	RPB107t01000038	2205757-2	HT014518948
990103816850206441	RPB107t01000042	573697-3	HT012229132
990107260110206441	RPB107t01000061	1285221-1	HT012573458
990108763960206441	RPB107t01000202	1486941-X	HT012723843
990056564510206441	RPB107t01001388	1105198-X	HT009053870
990108046600206441	RPB107t01003204	1395572-X	HT012652107
990102568800206441	RPB107t01003431	223600-X	HT012104327
990141092200206441	RPB107t01006765		TT001204986
990103059800206441	RPB107t01009500	341791-8	HT012153427
990106782900206441	RPB107t01009840	1211855-2	HT012525737
990106648990206441	RPB107t01013195	1193897-3	HT012512346
990102559440206441	RPB107t01013267	218702-4	HT012103391
990054827080206441	RPB107t01013294	210708-9	HT006910418
990104085040206441	RPB107t01013951	726378-8	HT012255951
990113992560206441	RPB107t01013963	2050656-9	HT013072587
990107443980206441	RPB107t01013971	1313144-8	HT012591845
990113633530206441	RPB107t01013980	2041218-6	HT013036467
990102707620206441	RPB107t01013994	254404-0	HT012118209
990104074080206441	RPB107t01014023	725067-8	HT012254855
990104078810206441	RPB107t01014024	725659-0	HT012255328
990121048960206441	RPB107t01014049	2118406-9	HT013784264
990113317120206441	RPB107t01014057	2018526-1	HT013004750
990104085480206441	RPB107t01014061	726438-0	HT012255995
990113531090206441	RPB107t01014072	2033099-6	HT013026210
990113564770206441	RPB107t01014075	2035188-4	HT013029588
990055859300206441	RPB107t01014102	1016991-X	HT007033675
990055498410206441	RPB107t01014113	629755-9	HT006990082
990104074090206441	RPB107t01014122	725068-X	HT012254856
990113507970206441	RPB107t01014153	2031972-1	HT013023884
990118809060206441	RPB107t01014159	2096378-6	HT013557566
990105756930206441	RPB107t01014167	1074926-3	HT012423140
990119628200206441	RPB107t01014171	2105756-4	HT013640462
990104073900206441	RPB107t01014178	725036-8	HT012254837
990116271750206441	RPB107t01014179	2071487-7	HT013302470
990108179540206441	RPB107t01014265	1412610-2	HT012665401
990105858980206441	RPB107t01014268	1089064-6	HT012433345
