almaMmsId	zdbId
99370672865106441; 990108600280206441	1466072-6
990127070070206441; 99370672872306441	1466151-2
99371436962406441; 990108601030206441	1466180-9
990108601680206441; 99370674918006441	1466273-5
99370674916606441; 990108601750206441	1466281-4
990108601840206441; 99370671969706441	1466293-0
99370674605506441; 990108601860206441; 99370673446106441	1466296-6
99370673122006441; 990108601910206441	1466301-6
99370673529306441; 990108601960206441	1466308-9
990056640520206441; 99370684050106441	1466312-0
990056638150206441; 99370682249306441	1466331-4
99370673526006441; 990108602120206441; 991003523249706485	1466332-6
990108602130206441; 99370692973806441	1466333-8
990108602160206441; 99370674912906441	1466340-5
990056701820206441; 99370674911606441	1466342-9
990108602170206441; 99370672921606441	1466343-0
990108602200206441; 99370707953006441	1466346-6
990108602210206441; 99370671624206441	1466347-8
990108602300206441; 99370671686006441	1466356-9
990108602450206441; 99370679052206441	1466376-4
990108602520206441; 99370678711406441; 99370698022406441	1466385-5
99370676913306441; 990108602650206441	1466401-X
99370684993706441; 990056640560206441	1466405-7
99370677018106441; 990108602830206441	1466421-5
99370673636606441; 990108603150206441	1466472-0
99370673635906441; 990108603170206441	1466474-4
99370675256106441; 990056673400206441	1466476-8
99370675259006441; 990108603190206441	1466479-3
99370675256406441; 990108603220206441	1466482-3
99370673636106441; 990108603250206441	1466485-9
99370675258706441; 990056673410206441	1466487-2
990108603280206441; 99370675263006441	1466489-6
99370675262806441; 990056673420206441	1466491-4
990108603450206441; 99370670491406441	1466510-4
99370676911906441; 990108603460206441	1466511-6
99370676046606441; 990108603490206441	1466514-1
990108603510206441; 99370679190306441	1466516-5
99370674920006441; 990108603590206441	1466524-4
99370676441706441; 990108603620206441	1466529-3
99370674913306441; 990108603650206441	1466532-3
99370675258606441; 990108603710206441	1466539-6
99370679185906441; 990108603740206441	1466542-6
990108603870206441; 99370672109506441	1466567-0
990108603880206441; 99370676566106441	1466572-4
99370679182606441; 990108603920206441	1466577-3
990108603930206441; 99370676570406441	1466579-7
99370676159406441; 990108603940206441	1466580-3
990108603990206441; 99370674915706441	1466587-6
990108604030206441; 99370673452906441	1466595-5
990108604100206441; 99370679188306441	1466603-0
990108604190206441; 99370679188106441	1466612-1
990108604280206441; 99370679186006441	1466624-8
990108604570206441; 99370671262306441	1466659-5
990108604720206441; 99370676055206441	1466675-3
99370675264206441; 990056673440206441	1466679-0
99370675263306441; 990108604750206441	1466682-0
99370673445506441; 990108604880206441	1466695-9
99370677023506441; 990056697660206441	1466699-6
99370671267506441; 990108604960206441	1466705-8
99370673821706441; 990056673450206441	1466709-5
99370673821206441; 990056673460206441	1466710-1
99370676048006441; 990056697670206441	1466717-4
99370676047206441; 990108605070206441	1466720-4
99370670492406441; 990108605110206441	1466724-1
99370672989106441; 99370676022706441; 990108605150206441	1466729-0
99370671807206441; 990108605250206441	1466742-3
990108605340206441; 99370671809306441	1466755-1
99370670649306441; 990108605430206441	1466769-1
99370670649006441; 990108605520206441	1466780-0
990108605580206441; 99370672952206441	1466792-7
99370673636206441; 990108605640206441	1466800-2
99370675660606441; 990056694830206441	1466839-7
990108606510206441; 99370670648706441	1466924-9
99370670648406441; 990108606560206441	1466932-8
99370670648106441; 990108606600206441	1466937-7
99370670647806441; 990108606620206441	1466941-9
99370671624706441; 990108606700206441	1466951-1
99370677493006441; 990108606750206441	1466958-4
990056646480206441; 99370699583606441	1466961-4
99370671810306441; 990108606830206441	1466969-9
99370675663306441; 990108607000206441	1466999-7
99370673524206441; 990056720970206441	1467022-7
99370675533006441; 990056724340206441	1467029-X
990056631220206441; 99370699225006441	1467038-0
99370674911706441; 990056649940206441	1467065-3
990108608190206441; 99370676570306441	1467152-9
990174128520206441; 99370676059506441	1467172-4
99370683828206441; 990056649950206441	1467261-3
990108610000206441; 99370671961806441	1467410-5
99370679075706441; 990056697680206441	1467414-2
99370676018206441; 990056697690206441	1467419-1
990108610510206441; 99370671258906441	1467467-1
990108610540206441; 99370678176506441	1467471-3
99370673614306441; 990108610560206441	1467474-9
99370670837806441; 990108610600206441	1467478-6
990108610700206441; 99370670649606441	1467489-0
99370679082606441; 990108610750206441	1467494-4
990108610800206441; 99370670726606441	1467499-3
990108610820206441; 99370672950606441	1467501-8
99370672949806441; 990108610870206441	1467508-0
99370671802306441; 990108610920206441	1467514-6
990108610930206441; 99370673694106441	1467515-8
99370671801706441; 990108610970206441	1467522-5
99370671809106441; 990108611070206441	1467532-8
99370674525806441; 990108611120206441; 991000014459706485	1467539-0
99370671258106441; 990108611740206441	1467608-4
99370670725506441; 990108612140206441	1467659-X
99370671801806441; 990108612210206441	1467668-0
99370670647506441; 990108612300206441	1467679-5
990108612410206441; 99370709341506441	1467695-3
990108612430206441; 99370679339606441	1467698-9
99370679336906441; 990056706350206441	1467823-8
99370676911306441; 990056694840206441	1467838-X
99370676046706441; 990056708660206441	1467889-5
990108614600206441; 99370674910906441	1467965-6
99370671621006441; 990108614630206441	1467968-1
99370676062206441; 990108614640206441	1467969-3
990108614680206441; 99370671809406441	1467974-7
99370676059606441; 990108614700206441	1467977-2
990108614710206441; 99370671802806441	1467978-4
99370670647306441; 990108614770206441	1467984-X
99370670647106441; 990108614810206441	1467991-7
990108614980206441; 99370671803406441	1468010-5
99370671805306441; 990108615100206441	1468023-3
99370670726406441; 990108615160206441	1468030-0
990108615170206441; 99370672940406441	1468031-2
99370671800606441; 990108615280206441	1468042-7
99370697610206441; 990056679650206441	1468059-2
99370671687806441; 990108615410206441	1468063-4
99370679186406441; 990108615430206441	1468065-8
99370677313206441; 990108615460206441	1468069-5
99370679048206441; 990108615490206441	1468074-9
990108615550206441; 99370670494106441	1468081-6
99370670720806441; 990056662360206441	1468085-3
990108615590206441; 99370679055206441	1468087-7
99370685427006441; 990056663970206441	1468097-X
99370672870206441; 990108615710206441	1468100-6
99370679049206441; 990108615810206441	1468110-9
990108615850206441; 99370676913606441	1468114-6
99370676920306441; 990056673490206441	1468142-0
99370676063306441; 990056715640206441	1468161-4
99370671810106441; 990108616440206441	1468185-7
99370673610906441; 990056708670206441; 99370679010006441	1468190-0
99370675531906441; 990108616530206441	1468197-3
99370675719706441; 990108616580206441	1468203-5
99370675531806441; 990108616670206441	1468214-X
99370679169806441; 990108616760206441	1468223-0
99370675260106441; 990108616880206441	1468238-2
99370676049706441; 990108616940206441	1468244-8
990056662370206441; 99370675537306441	1468259-X
99370673446206441; 990108617080206441	1468265-5
99370679338106441; 990056662380206441	1468266-7
990108617460206441; 99370672106606441	1468327-1
990056708680206441; 99370692723506441	1468341-6
99370675513006441; 990108617590206441; 99370675535306441	1468345-3
99370686077406441; 990056694860206441	1468352-0
99370694112806441; 990056720980206441	1468362-3
99370686747106441; 990056694870206441	1468371-4
99370703295706441; 990108617930206441	1468388-X
99370679284606441; 990056662400206441	1468391-X
99370679079406441; 990056662410206441	1468404-4
99370679334806441; 990056662420206441	1468406-8
990056662430206441; 99370684798906441	1468407-X
99370679335206441; 990056662440206441	1468409-3
99370672810806441; 990056662450206441	1468414-7
990108618590206441; 99370676023806441	1468474-3
990108618610206441; 99370683148206441	1468477-9
99370679335906441; 990056662460206441	1468482-2
990108618710206441; 99370679053506441	1468489-5
99370675531606441; 990108618730206441	1468491-3
990108618740206441; 99370670836606441	1468492-5
99370677502606441; 990108618750206441; 99370678060506441	1468493-7
990108618840206441; 99370671266306441	1468505-X
99370684164706441; 990108618870206441	1468509-7
990108618940206441; 99370672872206441	1468518-8
990056694880206441; 99370684163106441	1468538-3
99370671965506441; 990056694890206441	1468548-6
99370677089406441; 990108619170206441	1468560-7
990108619210206441; 99370670649206441	1468566-8
99370707009606441; 990108619720206441	1468654-5
990108619910206441; 99370689995306441	1468676-4
99370674913706441; 990108620710206441	1468770-7
990108620910206441; 99370675867906441	1468794-X
990108621010206441; 99370679048106441	1468806-2
99370672930206441; 990108621060206441	1468811-6
99370679163906441; 990056700030206441	1468837-2
99370679081106441; 990056697700206441	1468876-1
990108622110206441; 99370670646906441	1468945-5
990108622130206441; 99370670646606441	1468947-9
990108622140206441; 99370678174206441	1468948-0
990108622190206441; 99370671809006441	1468954-6
99370671805406441; 990108622210206441	1468960-1
990108622230206441; 99370670646306441	1468964-9
99370671804606441; 990108622260206441	1468969-8
99370671805106441; 990108622370206441	1468983-2
99370671802106441; 990108622430206441	1468989-3
99370687048906441; 990108622470206441	1468993-5
99370671802206441; 990108622550206441	1469001-9
99370670645806441; 990108622580206441	1469011-1
99370670645506441; 990108622650206441	1469021-4
990108622670206441; 99370670496806441	1469023-8
99370671803306441; 990108622740206441	1469033-0
99370679048906441; 990108623300206441	1469125-5
99370670646506441; 990108623370206441	1469139-5
99370671804706441; 990108623460206441	1469149-8
990108623480206441; 99370671805506441	1469152-8
990108623530206441; 99370671805906441	1469158-9
990108623560206441; 99370671807106441	1469162-0
99370670644906441; 990108623580206441	1469164-4
990108623630206441; 99370670644706441	1469171-1
990108623640206441; 99370670644506441	1469173-5
99370673687706441; 990108623660206441	1469177-2
99370672959306441; 990108623720206441	1469185-1
99370671805006441; 990108623870206441	1469206-5
99370671807606441; 990108623900206441	1469212-0
99370676048806441; 990108625460206441	1469429-3
99370670724006441; 990056673510206441	1469436-0
99370670644306441; 990108626770206441	1469602-2
99370670644106441; 990108626790206441	1469604-6
99370671800906441; 990108626820206441	1469607-1
99370699851406441; 990108626890206441	1469614-9
990108627080206441; 99370670649706441	1469633-2
99370671803506441; 990108627120206441	1469637-X
99370671802006441; 990108627180206441	1469643-5
99370670648506441; 990108627190206441	1469645-9
990108627250206441; 99370670649506441	1469652-6
99370670725006441; 990108627350206441	1469665-4
99370671808306441; 990108627460206441	1469677-0
99370670648606441; 990108628150206441	1469767-1
99370670648006441; 990108628190206441	1469771-3
990108628210206441; 99370670648206441	1469773-7
99370699850506441; 990108628240206441	1469776-2
990108628260206441; 99370670647706441	1469778-6
99370699567006441; 990108628280206441	1469781-6
99370671806406441; 990108628300206441	1469783-X
99370671808106441; 990108628310206441	1469785-3
99370671804906441; 990108628470206441	1469801-8
99370670647406441; 990108628510206441	1469806-7
99370671961206441; 990108628570206441	1469812-2
99370671803006441; 990108628670206441	1469822-5
99370675261106441; 990056694910206441	1470206-X
99370675256206441; 990108631530206441	1470211-3
99370675259606441; 990108631640206441	1470226-5
99370675256706441; 990056703330206441	1470300-2
99370673524706441; 990056720990206441	1470303-8
99370671960706441; 990108632410206441	1470319-1
990108632450206441; 99370675096406441	1470323-3
99370674420306441; 990108632500206441	1470328-2
99370679148906441; 99370672458306441; 990056713410206441	1470447-X
99370674530406441; 990056713420206441	1470448-1
990108633620206441; 99370674529106441	1470474-2
99370676063106441; 990108634450206441	1470577-1
99370887304106441; 990108635030206441	1470651-9
99370670647006441; 990108636180206441	1470806-1
990108636230206441; 99370671809206441	1470813-9
990108636320206441; 99370671804506441	1470827-9
990108637200206441; 99370670646806441	1470953-3
99370671806806441; 990108637220206441	1470955-7
99370699851206441; 990108637240206441	1470957-0
990108637310206441; 99370671804406441	1470965-X
990108637380206441; 99370670646406441	1470972-7
99370670646206441; 990108637430206441	1470978-8
99370674817806441; 990108637490206441	1470985-5
99370699567106441; 990108637620206441	1471003-1
99370670646006441; 990108637670206441	1471008-0
990108637720206441; 99370670730306441	1471017-1
990108638650206441; 99370671804006441	1471152-7
990108638710206441; 99370671807506441	1471158-8
990108638780206441; 99370670644806441	1471165-5
99370670644606441; 990108638850206441	1471172-2
990108638890206441; 99370671805706441	1471177-1
99370672110206441; 990056721000206441	1471201-5
99370671802706441; 990108640420206441	1471391-3
99370670730206441; 990108640440206441	1471393-7
99370671801006441; 990108640520206441	1471402-4
99370699850206441; 990108640580206441	1471408-5
99370670726206441; 990108640640206441	1471414-0
99370671801306441; 990108640670206441	1471418-8
99370670725406441; 990108640800206441	1471433-4
99370671809606441; 990108640860206441	1471439-5
99370670647206441; 990108640910206441	1471444-9
99370699851706441; 990108640940206441	1471447-4
99370678619006441; 990108640960206441	1471451-6
99370670647906441; 990108640990206441	1471454-1
99370671807806441; 990108641010206441	1471456-5
99370671806206441; 990108641060206441	1471461-9
99370671802906441; 990108641780206441	1471554-5
990108641860206441; 99370671808806441	1471564-8
