almaMmsId	hbzId	zdbId
990153812430206441; 990212587930206441	HT014793049; HT019029591	2242434-9
990153819020206441; 990157046260206441	HT014793708; HT015083045	2243112-3
990153819580206441; 990183807020206441	HT014793764; HT016678183	2243170-6
990153877410206441; 990212605220206441	HT014799600; HT019031316	2243481-1
990153878990206441; 990173180690206441	HT014799758; HT015802575	2243653-4
990153882180206441; 990189283600206441	HT014800077; HT017026491	2243981-X
990153882800206441; 990170716390206441	HT014800139; HT015628353	2244044-6
990154003510206441; 990174568820206441	HT014812328; HT015926881	2245708-2
990053792090206441; 990185791040206441	HT011185113; TT003077604	224685-5
990154137820206441; 990173132890206441	HT014825892; HT015797735	2247222-8
990154138880206441; 990212505720206441	HT014825998; HT019021427	2247335-X
990154140390206441; 990180711790206441	HT014826149; HT016377320	2247495-X
990154203190206441; 990179592510206441	HT014832512; HT016323477	2248323-8
990154424590206441; 990178766090206441	HT014853871; HT016259165	2251025-4
990154530400206441; 990206408470206441	HT014864569; HT018501025	2252163-X
990154531910206441; 990204468600206441	HT014864720; HT018316337	2252334-0
990154533180206441; 990219209920206441	HT014864847; HT019417073	2252463-0
990154533210206441; 990219209950206441	HT014864850; HT019417076	2252466-6
990154596380206441; 990181294310206441	HT014871223; HT016435187	2253560-3
990154662510206441; 990207557940206441	HT014877912; HT018610461	2254572-4
990154732090206441; 990228328820206441	HT014884948; HT020024444	2255359-9
990154732460206441; 990206189310206441	HT014884985; HT018479740	2255396-4
990154732490206441; 990206189350206441	HT014884988; HT018479744	2255399-X
990154734690206441; 990202536020206441	HT014885208; HT018135780	2255629-1
990154789970206441; 990187557880206441	HT014890829; HT016866042	2256251-5
990154870320206441; 990187384620206441	HT014898998; HT016851367	2257279-X
990155141940206441; 990212573050206441	HT014921946; HT019028125	2259727-X
990155376390206441; 990160139840206441	HT014945625; HT015307189	2261494-1
990155382370206441; 990189983550206441	HT014946223; HT017094081	2262120-9
990155395260206441; 990173026980206441	HT014947512; HT015786965	2263455-1
990155402700206441; 990179050180206441	HT014948256; HT016287712	2264223-7
990155629210206441; 990367997660206441	HT014971129; HT020606397	2266501-8
990155696990206441; 990189421090206441	HT014977980; HT017040173	2267234-5
990155840850206441; 990209870270206441	HT014992493; HT018817046	2269116-9
990155847540206441; 990191538890206441	HT014993162; HT017245510	2269817-6
990155897850206441; 990210391130206441	HT014998258; HT018868034	2270251-9
990102583530206441; 990133754160206441	HT012105800; HT014245495	227037-7
990155903460206441; 990157528230206441	HT014998819; HT015131494	2270840-6
990155903920206441; 990213386790206441	HT014998865; HT019077227	2270886-8
990155905830206441; 990211131970206441	HT014999056; HT018942340	2271086-3
990156043570206441; 990171933680206441	HT015013008; HT015750725	2272167-8
990156046210206441; 990228723570206441	HT015013272; HT020063746	2272451-5
990156118110206441; 990220517820206441	HT015020533; HT019545659	2273291-3
990156122570206441; 990175715230206441	HT015020979; HT015992681	2273753-4
990156124960206441; 990220506170206441	HT015021218; HT019544494	2274001-6
990156126110206441; 990187958050206441	HT015021333; HT016905400	2274123-9
990156197840206441; 990190774020206441	HT015028599; HT017170354	2274961-5
990156391120206441; 990177575860206441	HT015045260; HT016146826	2277294-7
990156390600206441; 990208746860206441	HT015045208; HT018715366	2277525-0
990156738510206441; 990167183380206441	HT015059291; HT015589045	2279074-3
990156738720206441; 990184017380206441	HT015059312; HT016698675	2279107-3
990156742430206441; 990206238840206441	HT015059683; HT018484666	2279534-0
990157008960206441; 990171333200206441	HT015079281; HT015690224	2280915-6
990157006360206441; 990183819690206441	HT015079021; HT016679467	2281173-4
990157005580206441; 990173467620206441	HT015078943; HT015831396	2281250-7
990157004290206441; 990175640110206441	HT015078814; HT015985084	2281378-0
990157001550206441; 990164720790206441	HT015078540; HT015429580	2281647-1
990156999630206441; 990171137550206441	HT015078348; HT015671098	2281838-8
990156999360206441; 990197645770206441	HT015078321; HT017713207	2281865-0
990156996460206441; 990177380700206441	HT015078031; HT016132352	2282150-8
990156995790206441; 990171143740206441	HT015077964; HT015671722	2282215-X
990156994830206441; 990204515880206441	HT015077868; HT018321039	2282311-6
990156993720206441; 990188303140206441	HT015077757; HT016939069	2282421-2
990156990420206441; 990164264670206441	HT015077427; HT015403984	2282751-1
990156987550206441; 990199002120206441	HT015077140; HT017834638	2283034-0
990156976880206441; 990209690170206441	HT015076073; HT018798958	2284096-5
990156975350206441; 990176049340206441	HT015075920; HT016025675	2284248-2
990156974860206441; 990193128800206441	HT015075871; HT017402020	2284297-4
990156969910206441; 990198051860206441	HT015075376; HT017742616	2284790-X
990156966360206441; 990165149010206441	HT015075021; HT015472862	2285144-6
990156962050206441; 990370558590206441	HT015074590; HT020862609	2285575-0
990156958680206441; 990188317860206441	HT015074253; HT016939843	2285909-3
990156957680206441; 990171754750206441	HT015074153; HT015732635	2286009-5
990156951390206441; 990209724480206441	HT015073524; HT018802397	2286637-1
990156927040206441; 990180396640206441	HT015071089; HT016346051	2289068-3
990156910390206441; 990195177750206441	HT015069424; HT017601955	2290731-2
990156905090206441; 990160249260206441	HT015068894; HT015318283	2291261-7
990156904070206441; 990193508200206441	HT015068792; HT017439411	2291363-4
990156900790206441; 990165389400206441	HT015068464; HT015494938	2291691-X
990156871580206441; 990213701530206441	HT015065543; HT019108427	2294612-3
990156869200206441; 990223074850206441	HT015065305; HT019587299	2294850-8
990157018580206441; 990170758010206441	HT015080243; HT015632586	2295779-0
990157103310206441; 990202225810206441	HT015088794; HT018106507	2295895-2
990157199830206441; 990179387640206441	HT015098509; HT016302869	2299310-1
990157202290206441; 990173340470206441	HT015098755; HT015818486	2299575-4
990157206440206441; 990163967200206441	HT015099170; HT015373902	2300035-1
990157173360206441; 990181651680206441	HT015095862; HT016469344	2302430-6
990157396790206441; 990170674620206441	HT015118269; HT015624137	2316379-3
990157502070206441; 990195278040206441	HT015128852; HT017611988	2316524-8
990157586920206441; 990187549350206441	HT015137406; HT016865210	2323730-2
990157654090206441; 990210838430206441	HT015144199; HT018912890	2326796-3
990158967860206441; 99374867385906441	HT015188795	2364607-X
990158973130206441; 990159319900206441	HT015189322; HT015224331	2365216-0
990159119320206441; 990159553070206441	HT015204017; HT015247911	2365425-9
990159058540206441; 990173304070206441	HT015197939; HT015814747	2368123-8
990159095770206441; 990198646510206441	HT015201662; HT017799460	2371824-9
990159203180206441; 990227810890206441	HT015212503; HT019972906	2375626-3
990159267770206441; 990159508160206441	HT015219031; HT015243366	2375980-X
990159272760206441; 990190087020206441	HT015219530; HT017104078	2376621-9
990159336500206441; 990177098790206441	HT015226017; HT016104759	2377306-6
990159342340206441; 990175548890206441	HT015226601; HT015975891	2378044-7
990159451500206441; 990166603810206441	HT015237650; HT015551471	2378813-6
990159535590206441; 990196864040206441	HT015246144; HT017649597	2380967-X
990159536150206441; 990170955810206441	HT015246200; HT015652655	2381048-8
990159612650206441; 990182817900206441	HT015253955; HT016580667	2381981-9
990159617820206441; 990226799850206441	HT015254472; HT019872221	2382586-8
990159691120206441; 990211315690206441	HT015261908; HT018960676	2383324-5
990159684960206441; 990193306270206441	HT015261292; HT017419199	2383423-7
990159757860206441; 990184019840206441	HT015268684; HT016698930	2383634-9
990159758620206441; 990202445570206441	HT015268760; HT018126909	2383715-9
990159761920206441; 990160350930206441	HT015269090; HT015327985	2384169-2
990159828200206441; 990208158230206441	HT015275814; HT018656611	2385367-0
990159834720206441; 990173272970206441	HT015276466; HT015811639	2385453-4
990159902940206441; 990190219230206441	HT015283149; HT017117071	2386774-7
990159965380206441; 990210138560206441	HT015289504; HT018843990	2387578-1
990159965790206441; 990193633200206441	HT015289545; HT017450588	2387620-7
